Datetime,Survival Rate (%),Disease Occurrence (Cases),Temperature (°C),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Precipitation (inches),Average Fish Weight (g)
2024-04-30 00:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 01:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 02:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 03:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 04:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 05:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 06:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 07:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 08:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 09:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 10:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 11:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 12:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 13:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 14:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 15:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 16:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 17:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 18:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 19:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 20:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 21:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 22:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-04-30 23:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 00:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 01:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 02:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 03:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 04:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 05:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 06:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 07:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 08:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
2024-05-01 09:00:00,92.93,1.0,26.6,6.68,7.89,3.19,5.96,262.05
