epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,0.7673156088564496,1.868296299243559,1.8682966232299805,1.3668564558029175,1.357373833656311,-99.79718780517578,-0.393731951713562,00:01
1,0.6987285731058234,1.7508218572124026,1.750821828842163,1.3231862783432007,1.313271164894104,-93.45926666259766,-0.4103351831436157,00:01
2,0.6338760786826863,1.6371504503070702,1.6371501684188843,1.2795116901397705,1.269129991531372,-87.3265151977539,-0.4275197982788086,00:01
3,0.5719837243659988,1.5262234824370882,1.5262237787246704,1.2354042530059814,1.2245129346847534,-81.34188079833984,-0.44546031951904297,00:01
4,0.5126061254989824,1.4172178091297183,1.4172178506851196,1.1904696226119995,1.1790145635604858,-75.46086120605469,-0.4643540382385254,00:01
5,0.45542111429633686,1.3095868128370283,1.309586524963379,1.1443716287612915,1.1322870254516602,-69.65400695800781,-0.484341025352478,00:01
6,0.4003346423469787,1.2031443089050329,1.2031444311141968,1.096879482269287,1.0840837955474854,-63.91130065917969,-0.5056111812591553,00:01
7,0.34746894812539136,1.0979694053325344,1.0979695320129395,1.0478404760360718,1.0342352390289307,-58.23697280883789,-0.5282684564590454,00:01
8,0.297091011711412,0.994218562762133,0.9942184686660767,0.9971050024032593,0.9825703501701355,-52.63945770263672,-0.552390456199646,00:01
9,0.2496262982105119,0.8929387919412822,0.8929387331008911,0.9449543952941895,0.9293498992919922,-47.17527389526367,-0.5779435634613037,00:00
10,0.2056163197841656,0.7946476300366986,0.7946475148200989,0.8914300799369812,0.8745855689048767,-41.87233352661133,-0.6049281358718872,00:01
11,0.1656751122710551,0.700781659582834,0.7007815837860107,0.8371269702911377,0.8188482522964478,-36.80813980102539,-0.6330641508102417,00:01
12,0.13037516021250783,0.6125638364102756,0.6125640273094177,0.7826646566390991,0.7627310752868652,-32.04867172241211,-0.6619864702224731,00:01
13,0.10023466240411709,0.5309738241461953,0.5309739708900452,0.7286795973777771,0.7068432569503784,-27.646780014038086,-0.6911920309066772,00:01
14,0.07559252639225893,0.45731178498539543,0.457311749458313,0.67624831199646,0.6522530913352966,-23.67259979248047,-0.7198407649993896,00:01
15,0.0564738235999139,0.3931070134624026,0.39310696721076965,0.6269824504852295,0.6006072759628296,-20.208663940429688,-0.7468287944793701,00:01
16,0.04247867247426816,0.3385265023498352,0.3385264575481415,0.5818302631378174,0.5529007911682129,-17.26397132873535,-0.7710721492767334,00:01
17,0.032874429472252664,0.2936404951037298,0.2936404049396515,0.5418859720230103,0.5103316903114319,-14.842305183410645,-0.7912977933883667,00:01
18,0.02661008219757749,0.2582467455718244,0.2582467496395111,0.5081798434257507,0.47409388422966003,-12.932768821716309,-0.8063859939575195,00:01
19,0.022539193972096118,0.230752532392151,0.23075252771377563,0.48036709427833557,0.4442084729671478,-11.449419021606445,-0.8160109519958496,00:01
20,0.01965908368229493,0.20948786932669264,0.20948787033557892,0.4576984643936157,0.42181652784347534,-10.302160263061523,-0.8203580379486084,00:01
21,0.017312241794918207,0.19247501252153235,0.19247499108314514,0.4387197196483612,0.404122918844223,-9.384291648864746,-0.8201571702957153,00:02
22,0.01516195929042981,0.17784417245543738,0.17784415185451508,0.42171573638916016,0.388424277305603,-8.594938278198242,-0.8166170120239258,00:00
23,0.013104215561037297,0.1637270516589275,0.1637270599603653,0.40463200211524963,0.3726543188095093,-7.833301544189453,-0.8112159967422485,00:02
24,0.011147058495298802,0.14999567012432594,0.14999565482139587,0.387292742729187,0.3565853536128998,-7.092473983764648,-0.804137110710144,00:02
25,0.009327104409635254,0.13586939222588376,0.13586939871311188,0.3686046600341797,0.3390938341617584,-6.330341339111328,-0.7965015172958374,00:02
26,0.007681536211695757,0.12220567962664769,0.1222056895494461,0.3495793044567108,0.3210609257221222,-5.593165874481201,-0.7877646684646606,00:02
27,0.006244075634215277,0.10854698441712853,0.10854700952768326,0.32946473360061646,0.3016391098499298,-4.856261253356934,-0.7790317535400391,00:02
28,0.005037337597564525,0.09656919521654059,0.09656919538974762,0.3107558488845825,0.28324460983276367,-4.210041046142578,-0.7685180902481079,00:02
29,0.0040698300470914705,0.08514808028525689,0.08514809608459473,0.29180148243904114,0.26426517963409424,-3.593857765197754,-0.758588433265686,00:02
30,0.003332123012936854,0.07604430457515728,0.07604430615901947,0.27576130628585815,0.2480841428041458,-3.1026954650878906,-0.7470386028289795,00:01
31,0.002795577601634045,0.06784939317377546,0.06784937530755997,0.2604791224002838,0.23222917318344116,-2.6605677604675293,-0.7359738349914551,00:02
32,0.0024198846213878806,0.06172775350836953,0.06172775477170944,0.24845071136951447,0.2194884717464447,-2.3302974700927734,-0.7233684062957764,00:02
33,0.0021559942791293243,0.05665197629568604,0.05665198713541031,0.2380167841911316,0.20811189711093903,-2.056452989578247,-0.7109450101852417,00:01
34,0.00196029242680979,0.05248865089850772,0.05248866230249405,0.22910404205322266,0.19808810949325562,-1.8318355083465576,-0.6984357833862305,00:00
35,0.001800669441390351,0.049359873228261686,0.04935987666249275,0.22217082977294922,0.19016888737678528,-1.6630337238311768,-0.6848387718200684,00:01
36,0.0016584268568751958,0.04713665394814447,0.047136642038822174,0.21710975468158722,0.18447598814964294,-1.5430872440338135,-0.6693781614303589,00:01
37,0.0015253303494390728,0.044879559973459035,0.04487955942749977,0.2118479609489441,0.17834052443504333,-1.4213142395019531,-0.6540814638137817,00:01
38,0.001399819046240265,0.0429267970154284,0.04292679578065872,0.20718783140182495,0.17286989092826843,-1.3159599304199219,-0.6377087831497192,00:01
39,0.0012839819538496254,0.04104315116064073,0.04104316979646683,0.20259113609790802,0.1673298329114914,-1.2143356800079346,-0.6207215785980225,00:01
40,0.001180219202393954,0.0396874795208583,0.03968748077750206,0.19921717047691345,0.16351038217544556,-1.1411941051483154,-0.6020734310150146,00:01
41,0.0010902401202159445,0.03802445984800966,0.03802446648478508,0.1949986219406128,0.15828879177570343,-1.0514724254608154,-0.5834095478057861,00:01
42,0.001013729164730256,0.036439754607221764,0.03643975406885147,0.19089199602603912,0.15298335254192352,-0.965975284576416,-0.5651082992553711,00:02
43,0.0009514230000801062,0.03526963130523517,0.035269640386104584,0.18780213594436646,0.1492631435394287,-0.9028457403182983,-0.5457209348678589,00:01
44,0.0009019554893001587,0.034070910344658104,0.034070905297994614,0.18458305299282074,0.14519335329532623,-0.8381726741790771,-0.5262192487716675,00:01
45,0.0008634007118908255,0.033062861164291864,0.033062856644392014,0.181831955909729,0.1418539434671402,-0.7837867736816406,-0.5065000057220459,00:01
46,0.0008324576528951685,0.03177239730588114,0.031772393733263016,0.17824812233448029,0.13660091161727905,-0.7141647338867188,-0.4880112409591675,00:02
47,0.0008094705188729723,0.03098456106763032,0.030984561890363693,0.17602431774139404,0.13408060371875763,-0.6716600656509399,-0.46790361404418945,00:00
48,0.0007917011836654482,0.030256699458648516,0.03025669977068901,0.17394453287124634,0.13194459676742554,-0.6323908567428589,-0.44669461250305176,00:01
49,0.0007776242460992535,0.029477343779255916,0.02947734110057354,0.17168965935707092,0.1294218897819519,-0.5903433561325073,-0.4251455068588257,00:02
50,0.0007658936339911626,0.02892989609468619,0.028929898515343666,0.17008791863918304,0.12848687171936035,-0.5608079433441162,-0.4026225805282593,00:01
51,0.0007563558756446719,0.028206845255509476,0.028206845745444298,0.16794893145561218,0.12638737261295319,-0.5217983722686768,-0.3794887065887451,00:02
52,0.0007462598266792656,0.02746326224828209,0.027463262900710106,0.16572043299674988,0.12396801263093948,-0.48168087005615234,-0.3567312955856323,00:02
